312,96
315,3471768
317,7326864
320,1164978
322,4985798
324,8789014
327,2574317
329,6341398
332,0089948
334,3819661
336,7530228
339,1221343
341,4892701
343,8543996
346,2174924
348,5785182
350,9374465
353,2942473
355,6488903
358,0013454
360,3515827
362,6995723
365,0452842
367,3886887
369,7297562
372,068457
374,4047617
376,7386408
379,0700649
381,3990049
383,7254315
386,0493157
388,3706286
390,6893412
393,0054247
395,3188506
397,6295902
399,937615
402,2428966
404,5454068
406,8451174
409,1420004
411,4360277
413,7271715
416,0154041
418,3006979
420,5830253
422,8623589
425,1386715
427,4119359
429,682125
431,9492119
434,2131699
436,4739721
438,7315921
440,9860034
443,2371798
445,485095
447,729723
449,9710378
452,2090138
454,4436251
456,6748464
458,9026523
461,1270174
463,3479167
465,5653253
467,7792183
469,989571
472,1963589
474,3995577
476,5991431
478,795091
480,9873774
483,1759787
485,3608711
487,5420312
489,7194357
491,8930613
494,0628852
496,2288845
498,3910364
500,5493185
502,7037084
504,854184
507,0007232
509,1433041
511,2819051
513,4165047
515,5470815
517,6736144
519,7960824
521,9144647
524,0287407
526,1388898
528,2448919
530,3467269
532,4443748
534,5378159
536,6270308
538,712
540,7927044
542,8691251
544,9412433
547,0090404
549,072498
551,131598
553,1863223
555,2366533
557,2825732
559,3240648
561,3611108
563,3936942
565,4217984
567,4454067
569,4645028
571,4790705
573,489094
575,4945575
577,4954455
579,4917427
581,4834341
583,4705048
585,4529402
587,4307259
589,4038477
591,3722916
593,3360439
595,2950912
597,24942
599,1990175
601,1438707
603,0839671
605,0192944
606,9498404
608,8755932
610,7965413
612,7126732
614,6239777
616,530444
618,4320614
620,3288195
622,220708
624,1077171
625,9898371
627,8670585
629,7393722
631,6067692
633,4692409
635,3267789
637,179375
639,0270213
640,8697102
642,7074343
644,5401866
646,3679601
648,1907483
650,0085448
651,8213437
653,6291392
655,4319258
657,2296982
659,0224514
660,810181
662,5928823
664,3705513
666,1431843
667,9107775
669,6733278
671,4308321
673,1832877
674,9306923
676,6730437
678,41034
680,1425798
681,8697617
683,5918848
685,3089485
687,0209523
688,7278962
690,4297805
692,1266056
693,8183724
695,505082
697,1867359
698,8633358
700,5348838
702,2013822
703,8628337
705,5192414
707,1706084
708,8169385
710,4582356
712,0945038
713,7257479
715,3519726
716,9731832
718,5893852
720,2005845
721,8067872
723,408
725,0042296
726,5954832
728,1817683
729,7630927
731,3394646
732,9108926
734,4773855
736,0389524
737,5956028
739,1473468
740,6941943
742,2361561
743,773243
745,3054662
746,8328374
748,3553685
749,8730717
751,3859598
752,8940457
754,3973427
755,8958647
757,3896256
758,8786399
760,3629224
761,8424883
763,317353
764,7875324
766,2530428
767,7139009
769,1701235
770,621728
772,0687323
773,5111543
774,9490125
776,3823259
777,8111135
779,2353951
780,6551907
782,0705205
783,4814054
784,8878665
786,2899253
787,6876038
789,0809241
790,4699091
791,8545818
793,2349657
794,6110846
795,9829628
797,350625
798,7140962
800,0734019
801,428568
802,7796207
804,1265867
